education,gender,nuts1,parameter_set,population
no_qualifications,male,UKC,1,96154.64626677387
no_qualifications,male,UKD,1,277110.6009015645
no_qualifications,male,UKE,1,198257.49549956006
no_qualifications,male,UKF,1,140279.81555578072
no_qualifications,male,UKG,1,273243.04187922453
no_qualifications,male,UKH,1,186440.26195701514
no_qualifications,male,UKI,1,225654.16364789466
no_qualifications,male,UKJ,1,193867.55775231178
no_qualifications,male,UKK,1,117693.45553626303
no_qualifications,male,UKL,1,117595.55150597876
no_qualifications,male,UKM,1,212878.65173621874
no_qualifications,female,UKC,1,107610.5067180626
no_qualifications,female,UKD,1,278163.1636799076
no_qualifications,female,UKE,1,217823.27156487195
no_qualifications,female,UKF,1,149296.6475889919
no_qualifications,female,UKG,1,281655.51958339737
no_qualifications,female,UKH,1,187460.9640471301
no_qualifications,female,UKI,1,230171.31020328795
no_qualifications,female,UKJ,1,200608.91300561908
no_qualifications,female,UKK,1,113585.94278399415
no_qualifications,female,UKL,1,125778.4105610483
no_qualifications,female,UKM,1,230011.58847783154
level_one,male,UKC,1,250732.43952507165
level_one,male,UKD,1,597580.5983856942
level_one,male,UKE,1,431112.76547222177
level_one,male,UKF,1,403620.5734524348
level_one,male,UKG,1,502708.48734128824
level_one,male,UKH,1,536639.0624295669
level_one,male,UKI,1,436601.3773240687
level_one,male,UKJ,1,692958.9361142116
level_one,male,UKK,1,458640.39228802576
level_one,male,UKL,1,266675.11344215355
level_one,male,UKM,1,308705.92127396184
level_one,female,UKC,1,306508.028862638
level_one,female,UKD,1,745694.4724759051
level_one,female,UKE,1,566406.6419050485
level_one,female,UKF,1,504286.21398681187
level_one,female,UKG,1,589810.5182211577
level_one,female,UKH,1,660133.0341517394
level_one,female,UKI,1,522529.3334303687
level_one,female,UKJ,1,827688.4224778689
level_one,female,UKK,1,555301.9513344435
level_one,female,UKL,1,315175.4445773259
level_one,female,UKM,1,405342.22461276193
level_two,male,UKC,1,291559.699698963
level_two,male,UKD,1,722810.1781057605
level_two,male,UKE,1,594878.4995935449
level_two,male,UKF,1,526199.1049988575
level_two,male,UKG,1,544454.1858204353
level_two,male,UKH,1,569972.738530608
level_two,male,UKI,1,574168.1694722227
level_two,male,UKJ,1,878580.8586317103
level_two,male,UKK,1,608008.2438272734
level_two,male,UKL,1,322883.05400504137
level_two,male,UKM,1,580610.8022502183
level_two,female,UKC,1,239403.07358598645
level_two,female,UKD,1,648595.8471953681
level_two,female,UKE,1,496893.2676595765
level_two,female,UKF,1,459326.80808237527
level_two,female,UKG,1,470895.6871017102
level_two,female,UKH,1,535088.4988450803
level_two,female,UKI,1,560043.8565206112
level_two,female,UKJ,1,762791.6331818585
level_two,female,UKK,1,539658.0264627645
level_two,female,UKL,1,259788.2074054836
level_two,female,UKM,1,432962.11046826193
level_three,male,UKC,1,165061.22173117663
level_three,male,UKD,1,498704.16270083596
level_three,male,UKE,1,402417.7864388668
level_three,male,UKF,1,367263.7946293019
level_three,male,UKG,1,389200.494714212
level_three,male,UKH,1,418336.6170882356
level_three,male,UKI,1,592382.1606704599
level_three,male,UKJ,1,609361.1767660815
level_three,male,UKK,1,385714.6742923524
level_three,male,UKL,1,228568.5042030035
level_three,male,UKM,1,447352.34505534195
level_three,female,UKC,1,181783.53261112582
level_three,female,UKD,1,462958.6138498772
level_three,female,UKE,1,374302.95926610654
level_three,female,UKF,1,349893.0984960048
level_three,female,UKG,1,390188.07093803905
level_three,female,UKH,1,425069.37526880635
level_three,female,UKI,1,599112.6192194086
level_three,female,UKJ,1,617894.5471229824
level_three,female,UKK,1,384370.1363791078
level_three,female,UKL,1,227839.7139209775
level_three,female,UKM,1,512938.409501417
level_four,male,UKC,1,229201.87091020995
level_four,male,UKD,1,699474.605887355
level_four,male,UKE,1,480967.8154335284
level_four,male,UKF,1,403392.65679186786
level_four,male,UKG,1,522927.72321472474
level_four,male,UKH,1,655459.8843759362
level_four,male,UKI,1,1565761.6522133981
level_four,male,UKJ,1,1102759.2335499541
level_four,male,UKK,1,601193.6045010374
level_four,male,UKL,1,286562.67475359514
level_four,male,UKM,1,563401.9562948587
level_four,female,UKC,1,266227.08786567266
level_four,female,UKD,1,808181.2582156833
level_four,female,UKE,1,551120.599633312
level_four,female,UKF,1,461290.43302248605
level_four,female,UKG,1,595625.6516898498
level_four,female,UKH,1,683907.2326205645
level_four,female,UKI,1,1580468.741482762
level_four,female,UKJ,1,1262353.2854732797
level_four,female,UKK,1,700176.1216050126
level_four,female,UKL,1,356660.2042989417
level_four,female,UKM,1,710093.7063210473
no_qualifications,male,UKC,2,95479.09663345716
no_qualifications,male,UKD,2,274996.5715119577
no_qualifications,male,UKE,2,198281.20232755344
no_qualifications,male,UKF,2,140572.60303672682
no_qualifications,male,UKG,2,274694.70304512663
no_qualifications,male,UKH,2,186254.38225913735
no_qualifications,male,UKI,2,225338.88988408708
no_qualifications,male,UKJ,2,194840.91019338678
no_qualifications,male,UKK,2,117405.55187446461
no_qualifications,male,UKL,2,117144.02551019053
no_qualifications,male,UKM,2,212412.91501572405
no_qualifications,female,UKC,2,107484.48768152301
no_qualifications,female,UKD,2,276923.9174234947
no_qualifications,female,UKE,2,216993.1764442697
no_qualifications,female,UKF,2,148740.8383619515
no_qualifications,female,UKG,2,281365.81454039447
no_qualifications,female,UKH,2,187236.80990200487
no_qualifications,female,UKI,2,230499.62698251515
no_qualifications,female,UKJ,2,200971.94617789748
no_qualifications,female,UKK,2,113154.53316254624
no_qualifications,female,UKL,2,126825.70233067407
no_qualifications,female,UKM,2,230002.18436653662
level_one,male,UKC,2,251908.1254612245
level_one,male,UKD,2,597456.6415066295
level_one,male,UKE,2,431458.827594754
level_one,male,UKF,2,405162.72603912634
level_one,male,UKG,2,503179.9094419636
level_one,male,UKH,2,538725.9738648097
level_one,male,UKI,2,436769.4019938844
level_one,male,UKJ,2,692911.1641637812
level_one,male,UKK,2,458677.9207500883
level_one,male,UKL,2,265955.1570967317
level_one,male,UKM,2,308755.2613706155
level_one,female,UKC,2,305034.71485577547
level_one,female,UKD,2,744979.476525132
level_one,female,UKE,2,565088.1501905334
level_one,female,UKF,2,504795.0655460485
level_one,female,UKG,2,590076.4744906381
level_one,female,UKH,2,660860.7846415885
level_one,female,UKI,2,523109.14615151513
level_one,female,UKJ,2,828328.600350147
level_one,female,UKK,2,556001.2888305826
level_one,female,UKL,2,316098.41423012764
level_one,female,UKM,2,405928.6844220211
level_two,male,UKC,2,292244.72089546436
level_two,male,UKD,2,724286.4583866767
level_two,male,UKE,2,596407.8796819003
level_two,male,UKF,2,525625.0274293567
level_two,male,UKG,2,545588.4352513128
level_two,male,UKH,2,570076.5430615098
level_two,male,UKI,2,574835.9372070455
level_two,male,UKJ,2,879380.8133086648
level_two,male,UKK,2,609735.8529352657
level_two,male,UKL,2,322514.2252184717
level_two,male,UKM,2,578503.7778709963
level_two,female,UKC,2,238885.4265379821
level_two,female,UKD,2,648856.3406131159
level_two,female,UKE,2,496235.6250194216
level_two,female,UKF,2,459519.9985801098
level_two,female,UKG,2,473201.19300400116
level_two,female,UKH,2,535270.6590016412
level_two,female,UKI,2,559008.8829680817
level_two,female,UKJ,2,765248.0962163238
level_two,female,UKK,2,539057.2252205941
level_two,female,UKL,2,259386.34936193217
level_two,female,UKM,2,432761.472724934
level_three,male,UKC,2,164491.98831450636
level_three,male,UKD,2,498836.7245217097
level_three,male,UKE,2,401014.8550628511
level_three,male,UKF,2,368326.0312008214
level_three,male,UKG,2,388449.21023484383
level_three,male,UKH,2,418640.5658928657
level_three,male,UKI,2,593784.8561009456
level_three,male,UKJ,2,607518.4665871799
level_three,male,UKK,2,384979.284581694
level_three,male,UKL,2,228254.9606362358
level_three,male,UKM,2,449030.4403828281
level_three,female,UKC,2,180428.8269816953
level_three,female,UKD,2,461920.1078794237
level_three,female,UKE,2,374972.5227686894
level_three,female,UKF,2,349471.3079508376
level_three,female,UKG,2,389694.7469371407
level_three,female,UKH,2,424866.0217613459
level_three,female,UKI,2,598842.4550209886
level_three,female,UKJ,2,617476.8476313765
level_three,female,UKK,2,385933.3035137875
level_three,female,UKL,2,227742.34802694691
level_three,female,UKM,2,512211.7239797189
level_four,male,UKC,2,228955.2527282796
level_four,male,UKD,2,697457.6355000302
level_four,male,UKE,2,478875.8318834644
level_four,male,UKF,2,402358.7670982026
level_four,male,UKG,2,522235.4137587107
level_four,male,UKH,2,655477.9740944997
level_four,male,UKI,2,1565131.4063645776
level_four,male,UKJ,2,1103723.7253871362
level_four,male,UKK,2,601139.024735708
level_four,male,UKL,2,286494.324453003
level_four,male,UKM,2,563417.7485760044
level_four,female,UKC,2,266249.68660045834
level_four,female,UKD,2,808244.7274312663
level_four,female,UKE,2,552646.2961715199
level_four,female,UKF,2,462238.8639287106
level_four,female,UKG,2,593903.7567516108
level_four,female,UKH,2,684249.3622368998
level_four,female,UKI,2,1580396.5935321269
level_four,female,UKJ,2,1262428.6214882177
level_four,female,UKK,2,698007.6707348006
level_four,female,UKL,2,356490.457876893
level_four,female,UKM,2,711164.5240213003
no_qualifications,male,UKC,3,96388.80672951759
no_qualifications,male,UKD,3,276602.2063969967
no_qualifications,male,UKE,3,198172.57275936828
no_qualifications,male,UKF,3,140292.53461403545
