education,gender,nuts1,parameter_set,vote_intention,predicted_probability
no_qualifications,male,UKC,1,conservative,0.316035650139238
no_qualifications,male,UKD,1,conservative,0.406257503680343
no_qualifications,male,UKE,1,conservative,0.397823773340824
no_qualifications,male,UKF,1,conservative,0.55071057503382
no_qualifications,male,UKG,1,conservative,0.419417522004448
no_qualifications,male,UKH,1,conservative,0.567315819048037
no_qualifications,male,UKI,1,conservative,0.31066087363875
no_qualifications,male,UKJ,1,conservative,0.534667121134036
no_qualifications,male,UKK,1,conservative,0.415167979825323
no_qualifications,male,UKL,1,conservative,0.333035920575277
no_qualifications,male,UKM,1,conservative,0.187259217509546
no_qualifications,female,UKC,1,conservative,0.237639576376335
no_qualifications,female,UKD,1,conservative,0.318795527060713
no_qualifications,female,UKE,1,conservative,0.314829172272421
no_qualifications,female,UKF,1,conservative,0.459020664661716
no_qualifications,female,UKG,1,conservative,0.333968643715091
no_qualifications,female,UKH,1,conservative,0.486894347709151
no_qualifications,female,UKI,1,conservative,0.229467491726414
no_qualifications,female,UKJ,1,conservative,0.447441441596123
no_qualifications,female,UKK,1,conservative,0.330645842309533
no_qualifications,female,UKL,1,conservative,0.260728224289371
no_qualifications,female,UKM,1,conservative,0.140537836621134
level_one,male,UKC,1,conservative,0.319857536959066
level_one,male,UKD,1,conservative,0.413400003734494
level_one,male,UKE,1,conservative,0.409493304395037
level_one,male,UKF,1,conservative,0.56671235373802
level_one,male,UKG,1,conservative,0.435487539624786
level_one,male,UKH,1,conservative,0.586481687984346
level_one,male,UKI,1,conservative,0.326392187048925
level_one,male,UKJ,1,conservative,0.562530693225556
level_one,male,UKK,1,conservative,0.446134801624398
level_one,male,UKL,1,conservative,0.418458458505696
level_one,male,UKM,1,conservative,0.193284472140078
level_one,female,UKC,1,conservative,0.241121323860943
level_one,female,UKD,1,conservative,0.324887448135082
level_one,female,UKE,1,conservative,0.324165165096744
level_one,female,UKF,1,conservative,0.471010348355386
level_one,female,UKG,1,conservative,0.346337835373274
